activation,alpha,layers,neurons,val_mse_scaled,val_mse_unscaled
relu,0.0001,1,60,0.2880741785018745,3.9505169214576936
relu,0.0001,12,20,0.29024947441634114,5.13283909114905
tanh,0.0001,1,80,0.29071474874204756,4.018794260293001
tanh,0.0001,16,60,0.29181849285839345,5.033276613426247
tanh,0.0001,3,60,0.29204794999948297,4.362971513375498
relu,0.0001,1,40,0.29307900532809616,4.1500569477222005
tanh,0.0001,18,60,0.2933589751428105,5.497469852269805
tanh,0.0001,2,10,0.2939612604246166,4.18642109758066
tanh,0.0001,15,10,0.2945202831634754,4.290182764394177
logistic,0.0001,7,80,0.29453737066705504,4.04514610646237
tanh,0.0001,2,60,0.2955589777608864,4.022947884398495
tanh,0.0001,16,10,0.2961281002522296,4.312487251064158
relu,0.0001,2,10,0.2963583962540141,4.616856569841433
tanh,0.0001,20,80,0.296735615433649,4.449245567681957
tanh,0.0001,12,10,0.29741949342340995,4.488230749593937
tanh,0.0001,19,20,0.29751760071730166,4.397093582919987
relu,0.0001,21,60,0.29768785306677703,4.471067436460948
logistic,0.0001,6,60,0.2977369005678003,4.171918130378058
tanh,0.0001,17,80,0.2977564263417613,6.5274042320449706
relu,0.0001,29,60,0.29781583518599825,4.32513573258741
relu,0.0001,14,10,0.2984114990111948,4.4997899041760965
relu,0.0001,23,40,0.2984234575626372,4.4923962403542195
tanh,0.0001,11,10,0.29846242044016597,4.413566909158166
relu,0.0001,25,60,0.2984624750401169,4.43358328526007
relu,0.0001,9,40,0.29849145268187005,5.496508021880337
tanh,0.0001,7,80,0.298547560950695,4.27899264890656
relu,0.0001,26,20,0.29877298025133153,4.3152712893887335
tanh,0.0001,17,40,0.29894164489083525,4.894717242219795
relu,0.0001,7,10,0.2990537968645329,6.245907548837496
tanh,0.0001,21,10,0.29916836628943894,4.185392672435499
tanh,0.0001,26,10,0.2993415801160689,4.238159810699601
tanh,0.0001,4,10,0.29952425806985084,4.632012396666474
relu,0.0001,18,40,0.2996343652074037,4.491998627478607
relu,0.0001,19,40,0.299650064484328,4.496352284865558
tanh,0.0001,19,10,0.29971299605542256,4.402368211172456
logistic,0.0001,4,40,0.2998700301395942,4.016953584999794
tanh,0.0001,13,40,0.3001052381893592,5.694708752057671
relu,0.0001,12,60,0.30010884383608405,5.478136488767935
logistic,0.0001,2,20,0.3002009671182053,3.807519179001248
relu,0.0001,22,80,0.30024723765601263,4.730838927265333
relu,0.0001,14,60,0.30024830181891177,5.393587613985866
relu,0.0001,18,60,0.30053027379819497,4.914117386468884
tanh,0.0001,22,20,0.300769472525042,4.129038852021752
tanh,0.0001,14,10,0.3008423109801316,4.295751176762966
tanh,0.0001,1,20,0.30140397946894665,4.292385122620545
relu,0.0001,24,80,0.30155381944533527,5.434521625779797
tanh,0.0001,14,60,0.3017515991966981,4.822732847139664
relu,0.0001,17,60,0.30181232355135224,5.149113384725202
relu,0.0001,20,20,0.3018744851562502,4.5758167527050615
relu,0.0001,14,80,0.3019966334228088,4.535218461235561
relu,0.0001,27,40,0.3021080161985121,4.607806353028162
logistic,0.0001,6,80,0.30247276458715733,4.426567983550663
relu,0.0001,25,20,0.3025998605709143,4.555717389170912
logistic,0.0001,6,40,0.3031184106129511,3.9868962217328106
tanh,0.0001,15,20,0.3033187960177504,4.562724335277194
relu,0.0001,27,60,0.3033433347742674,5.03324598057843
tanh,0.0001,20,10,0.3035214778781521,4.495148849892223
relu,0.0001,18,20,0.3035628799465278,4.506878748563272
relu,0.0001,29,20,0.3037048875021638,4.881594604640267
